loan_type,loan_purpose,loan_amount_000s,action_taken,msamd,county_code,census_tract_number,applicant_ethnicity,co_applicant_ethnicity,applicant_race_1,co_applicant_race_1,applicant_sex,co_applicant_sex,applicant_income_000s,lien_status,population,minority_population,hud_median_family_income,tract_to_msamd_income,number_of_owner_occupied_units,number_of_1_to_4_family_units
1,3,300,1,35004.0,103.0,1233.01,2,5,5,8,1,5,540.0,1,8553.0,92.4499969482422,110800.0,76.58999633789062,1475.0,2258.0
1,3,200,1,28740.0,111.0,9537.0,2,2,5,5,1,2,41.0,1,5492.0,14.460000038146973,78500.0,131.00999450683594,1557.0,2061.0
1,2,51,1,10580.0,93.0,208.0,2,5,5,8,2,5,38.0,1,3341.0,62.02000045776367,83100.0,49.13999938964844,323.0,1627.0
1,1,292,0,35004.0,59.0,4132.0,2,5,5,8,2,5,135.0,1,5946.0,9.649999618530272,110800.0,88.7699966430664,2079.0,2297.0
1,1,472,0,35614.0,47.0,610.03,2,2,5,5,1,2,337.0,1,1838.0,68.87999725341797,73700.0,75.63999938964844,172.0,450.0
1,3,119,0,35614.0,85.0,20.01,2,5,3,8,2,5,60.0,1,2530.0,35.849998474121094,73700.0,154.52000427246094,684.0,815.0
1,3,280,0,35004.0,103.0,1700.01,2,2,5,5,1,2,125.0,1,5685.0,5.360000133514404,110800.0,89.62999725341797,1932.0,3326.0
1,1,36,0,13780.0,7.0,134.0,2,5,5,8,2,5,82.0,1,4285.0,15.149999618530272,65700.0,59.380001068115234,978.0,1905.0
1,1,165,0,27060.0,109.0,8.0,2,5,5,8,1,5,77.0,1,2900.0,30.690000534057617,75600.0,50.0099983215332,365.0,1015.0
1,1,654,0,35614.0,5.0,337.0,2,2,5,5,2,1,137.0,1,2277.0,28.32999992370605,73700.0,132.39999389648438,491.0,867.0
1,1,612,0,35004.0,59.0,3013.0,2,5,5,8,1,5,280.0,1,4390.0,45.08000183105469,110800.0,92.87000274658205,862.0,1555.0
2,1,76,0,15380.0,29.0,99.0,2,5,5,8,1,5,41.0,1,3624.0,5.789999961853027,68200.0,79.83999633789062,1208.0,1832.0
1,1,116,0,45060.0,75.0,209.02,2,2,5,5,1,1,77.0,1,5908.0,3.2799999713897705,68000.0,112.37000274658205,2096.0,2483.0
